HALTER_ID,ALTER,GESCHLECHT,STADTKREIS,STADTQUARTIER,RASSE
126,51-60,m,9.0,92.0,Welsh Terrier
574,61-70,w,2.0,23.0,Cairn Terrier
695,41-50,m,6.0,63.0,Labrador Retriever
893,61-70,w,7.0,71.0,Mittelschnauzer
1177,51-60,m,10.0,102.0,Shih Tzu
4004,61-70,w,3.0,34.0,Dackel
4050,41-50,w,11.0,111.0,Bichon frisé
4155,61-70,w,9.0,92.0,Zwergdackel
4203,41-50,w,2.0,21.0,Labrador Retriever
4215,41-50,w,8.0,81.0,Bergamasker
4215,41-50,w,8.0,81.0,Border Collie
4215,41-50,w,8.0,81.0,Bergamasker
4239,61-70,w,10.0,102.0,Pinscher
4261,71-80,w,7.0,71.0,Labrador Retriever
4281,61-70,w,9.0,91.0,Chihuahua
4281,61-70,w,9.0,91.0,Chihuahua
4362,61-70,w,7.0,74.0,West Highland White Terrier
4726,51-60,m,5.0,52.0,Mischling klein
4726,51-60,m,5.0,52.0,Golden Retriever
4786,41-50,m,3.0,34.0,Weimaraner
4801,51-60,m,4.0,42.0,Tibetan Spaniel
4880,51-60,m,5.0,52.0,Leonberger
4889,51-60,m,8.0,82.0,Shiba Inu
4908,51-60,m,5.0,51.0,Mischling klein
4908,51-60,m,5.0,51.0,Mischling klein
5088,51-60,m,7.0,72.0,Labrador Retriever
5113,51-60,m,11.0,119.0,Beagle
5225,61-70,m,3.0,34.0,Lagotto Romagnolo
5227,61-70,m,10.0,101.0,Border Terrier
5348,61-70,m,7.0,74.0,Magyar Viszla
5361,61-70,m,7.0,74.0,Prager Rattler
5406,51-60,m,6.0,61.0,Französische Bulldogge
6071,61-70,m,3.0,34.0,Cocker Spaniel
6103,51-60,w,4.0,42.0,Zwergrauhaardackel
6314,61-70,m,10.0,101.0,Jack Russel Terrier
6321,51-60,w,8.0,81.0,Mops
6364,61-70,m,,,Appenzeller
6469,41-50,m,11.0,111.0,Mops
6594,51-60,m,7.0,72.0,Staffordshire Bull Terrier
6600,51-60,m,6.0,63.0,Mischling klein
6617,61-70,w,12.0,122.0,Grosspudel
6629,51-60,w,4.0,41.0,Spitz
6640,51-60,m,8.0,82.0,Englische Bulldogge
12349,51-60,m,4.0,41.0,English Springer Spaniel
12371,51-60,w,2.0,23.0,Malteser
12409,61-70,m,9.0,91.0,Mischling klein
13119,51-60,m,10.0,102.0,Dobermann
13140,51-60,m,3.0,33.0,Jack Russel Terrier
13193,51-60,m,11.0,111.0,Langhaardackel
14693,41-50,m,11.0,111.0,Chihuahua
15456,41-50,m,2.0,21.0,Chihuahua
18020,41-50,m,5.0,52.0,Labrador Retriever
18360,31-40,w,3.0,31.0,Husky
18805,41-50,w,6.0,63.0,Jack Russel Terrier
19004,51-60,m,5.0,52.0,Malteser
19141,61-70,m,4.0,42.0,Bolonka Zwetna
19652,51-60,w,2.0,24.0,Mischling klein
19839,51-60,m,2.0,23.0,Labrador Retriever
20016,81-90,m,6.0,63.0,Kleinspitz
20205,81-90,m,7.0,73.0,Toypudel
20483,61-70,m,12.0,121.0,Terrier
20510,41-50,m,9.0,91.0,Berger blanc Suisse
20580,41-50,m,4.0,44.0,Chihuahua
20762,51-60,m,4.0,42.0,Zwergpudel
21270,41-50,m,8.0,81.0,Grosspudel
21393,51-60,m,2.0,24.0,Französische Bulldogge
21828,71-80,w,7.0,74.0,Spitz
21865,61-70,m,6.0,61.0,Foxterrier
22186,41-50,m,8.0,82.0,Labrador Retriever
22378,51-60,m,7.0,72.0,Kooiker
22479,51-60,m,7.0,72.0,Mischling klein
22950,51-60,w,11.0,119.0,Mittelpudel
22956,41-50,m,10.0,102.0,Cocker Spaniel
23054,61-70,w,10.0,101.0,Cairn Terrier
23408,31-40,m,12.0,122.0,Yorkshire Terrier
23493,61-70,m,11.0,111.0,Boxer
23887,81-90,m,2.0,24.0,Zwergdackel
23887,81-90,m,2.0,24.0,Zwergrauhaardackel
23889,61-70,w,4.0,42.0,Pudel
24014,51-60,w,12.0,123.0,Yorkshire Terrier
24242,41-50,w,11.0,119.0,Belgischer Schäfer
24246,51-60,m,10.0,102.0,Bergamasker
40684,71-80,m,7.0,74.0,Labrador Retriever
44439,71-80,m,7.0,74.0,Border Collie
54322,71-80,m,3.0,33.0,Lagotto Romagnolo
54926,81-90,m,2.0,21.0,Jack Russel Terrier
55176,71-80,m,3.0,34.0,Dobermann
55835,61-70,w,8.0,82.0,Deutscher Schäfer
56084,51-60,w,7.0,72.0,Berner Sennenhund
60244,51-60,m,12.0,122.0,Chow Chow
60397,51-60,m,7.0,74.0,Deutscher Schäfer
60402,61-70,w,11.0,111.0,Mischling klein
60402,61-70,w,11.0,111.0,Border Terrier
61323,71-80,m,8.0,81.0,Mudi
62389,71-80,m,8.0,83.0,Boxer
62621,71-80,m,11.0,111.0,Papillon
62628,61-70,m,7.0,72.0,Yorkshire Terrier
63468,71-80,m,7.0,74.0,Mischling klein
63704,71-80,m,10.0,101.0,Dachshund
64202,71-80,w,6.0,63.0,Cairn Terrier
64444,61-70,m,7.0,71.0,Mischling klein
64689,51-60,m,10.0,101.0,Tibet Terrier
64718,51-60,m,11.0,115.0,Mischling klein
64727,51-60,m,8.0,83.0,Border Collie
65665,61-70,w,8.0,82.0,Mops
65665,61-70,w,8.0,82.0,Mops
65681,41-50,m,2.0,21.0,Italienisches Windspiel
65713,61-70,w,2.0,21.0,Lagotto Romagnolo
65732,51-60,m,7.0,72.0,Holländischer Schäfer
65758,51-60,w,7.0,71.0,Yorkshire Terrier
65758,51-60,w,7.0,71.0,Welsh Springer Spaniel
65848,71-80,m,12.0,122.0,Pinscher
65940,41-50,w,8.0,81.0,Berner Sennenhund
65975,61-70,w,7.0,74.0,Labrador Retriever
65975,61-70,w,7.0,74.0,Labrador Retriever
65981,51-60,w,6.0,63.0,Labrador Retriever
66144,51-60,m,5.0,51.0,Deutsche Dogge
66144,51-60,m,5.0,51.0,Labrador Retriever
66151,51-60,m,11.0,115.0,Deutscher Schäfer
66266,61-70,m,9.0,91.0,Mischling klein
66298,41-50,m,6.0,63.0,Magyar Viszla
66515,61-70,m,8.0,83.0,Labrador Retriever
66515,61-70,m,8.0,83.0,Labrador Retriever
66524,51-60,w,12.0,123.0,Mops
66524,51-60,w,12.0,123.0,Border Collie
66702,51-60,w,6.0,61.0,Zwergpudel
66757,51-60,w,1.0,14.0,Mischling gross
66898,41-50,m,7.0,73.0,Coton de Tulear
66913,51-60,m,8.0,83.0,Hovawart
66913,51-60,m,8.0,83.0,Hovawart
67001,51-60,w,3.0,34.0,Mops
67018,71-80,w,6.0,61.0,Labrador Retriever
67054,51-60,m,9.0,91.0,Beagle
67125,51-60,m,7.0,74.0,Golden Retriever
67135,31-40,m,6.0,61.0,Jack Russel Terrier
67180,51-60,w,1.0,11.0,English Cocker Spaniel
67220,61-70,m,6.0,61.0,Mischling klein
67308,41-50,w,11.0,111.0,Shih Tzu
70076,31-40,m,9.0,92.0,Labrador Retriever
70176,41-50,w,4.0,44.0,Mischling gross
70287,51-60,m,2.0,24.0,Hirtenhund
70296,41-50,w,7.0,74.0,Pinscher
70296,41-50,w,7.0,74.0,Mischling klein
70577,51-60,w,3.0,34.0,Mischling klein
70788,21-30,m,7.0,71.0,Mops
70793,71-80,m,11.0,115.0,Soft Coated Wheaten Terrier
71024,61-70,w,7.0,74.0,Lagotto Romagnolo
71119,51-60,w,9.0,91.0,Zwergpinscher
71119,51-60,w,9.0,91.0,Prager Rattler
71119,51-60,w,9.0,91.0,Chihuahua
71142,51-60,w,7.0,71.0,Canaan Dog
71344,51-60,w,6.0,63.0,Labrador Retriever
71475,31-40,m,3.0,34.0,Lagotto Romagnolo
71542,41-50,m,9.0,92.0,Golden Retriever
71555,61-70,m,7.0,71.0,Mischling klein
71670,51-60,m,7.0,71.0,Deutscher Schäfer
71757,41-50,m,4.0,42.0,Bouvier
71761,41-50,m,9.0,92.0,Jack Russel Terrier
71893,41-50,w,6.0,63.0,Border Collie
71915,71-80,w,1.0,13.0,Mischling klein
72136,51-60,m,7.0,72.0,Labrador Retriever
72355,61-70,m,1.0,11.0,Foxterrier
72580,41-50,m,10.0,102.0,Prager Rattler
72580,41-50,m,10.0,102.0,Prager Rattler
80006,61-70,m,3.0,31.0,Appenzeller Sennenhund
80007,71-80,m,11.0,111.0,Labrador Retriever
80011,41-50,w,12.0,123.0,Malteser
